,ward,district,date_day,date_year,charge_1_type,race_WHITE HISPANIC,race_BLACK,race_BLACK HISPANIC,race_WHITE,race_ASIAN / PACIFIC ISLANDER,race_AMER INDIAN / ALASKAN NATIVE,race_UNKNOWN / REFUSED
281,11,009,31,2021,M,0,0,0,1,0,0,0
282,7,003,31,2021,M,0,1,0,0,0,0,0
283,20,009,31,2021,M,0,1,0,0,0,0,0
284,6,007,31,2021,M,0,1,0,0,0,0,0
285,33,017,31,2021,F,1,0,0,0,0,0,0
286,9,005,31,2021,M,0,1,0,0,0,0,0
287,40,020,31,2021,M,0,0,0,1,0,0,0
288,24,011,31,2021,F,1,0,0,0,0,0,0
289,9,006,31,2021,M,0,1,0,0,0,0,0
290,16,007,31,2021,F,0,1,0,0,0,0,0
291,27,012,31,2021,M,0,1,0,0,0,0,0
292,17,006,31,2021,M,0,1,0,0,0,0,0
293,37,011,31,2021,F,0,1,0,0,0,0,0
294,21,006,31,2021,F,0,1,0,0,0,0,0
295,21,006,24,2021,M,0,1,0,0,0,0,0
296,45,016,31,2021,F,0,0,0,1,0,0,0
297,27,012,31,2021,F,0,1,0,0,0,0,0
298,32,014,31,2021,M,1,0,0,0,0,0,0
299,33,014,31,2021,M,1,0,0,0,0,0,0
300,20,003,31,2021,F,0,1,0,0,0,0,0
301,26,025,27,2021,F,1,0,0,0,0,0,0
302,21,022,1,2021,M,0,1,0,0,0,0,0
303,20,009,27,2021,F,0,1,0,0,0,0,0
304,42,018,27,2021,F,0,1,0,0,0,0,0
305,42,018,27,2021,M,0,0,0,1,0,0,0
306,29,015,1,2021,F,0,1,0,0,0,0,0
307,3,002,27,2021,M,0,1,0,0,0,0,0
308,21,022,1,2021,F,0,1,0,0,0,0,0
309,20,003,27,2021,M,0,1,0,0,0,0,0
310,44,019,24,2021,F,0,0,0,1,0,0,0
311,26,012,27,2021,M,0,1,0,0,0,0,0
312,48,020,27,2021,M,0,1,0,0,0,0,0
313,4,001,27,2021,M,0,1,0,0,0,0,0
314,37,015,27,2021,M,0,1,0,0,0,0,0
315,6,007,27,2021,F,0,1,0,0,0,0,0
316,42,018,24,2021,F,0,1,0,0,0,0,0
317,42,018,8,2021,F,0,1,0,0,0,0,0
318,16,007,27,2021,F,0,1,0,0,0,0,0
319,9,005,27,2021,M,0,1,0,0,0,0,0
320,18,008,27,2021,M,0,1,0,0,0,0,0
321,8,006,27,2021,M,0,1,0,0,0,0,0
322,5,003,27,2021,F,0,1,0,0,0,0,0
323,17,006,18,2022,M,0,1,0,0,0,0,0
324,23,008,18,2022,M,1,0,0,0,0,0,0
325,34,005,24,2021,F,0,1,0,0,0,0,0
326,6,003,27,2021,M,0,1,0,0,0,0,0
327,27,011,27,2021,M,1,0,0,0,0,0,0
328,25,012,18,2022,F,1,0,0,0,0,0,0
329,34,005,27,2021,F,0,1,0,0,0,0,0
330,29,015,27,2021,M,0,1,0,0,0,0,0
331,6,006,27,2021,F,0,1,0,0,0,0,0
332,21,022,27,2021,M,0,1,0,0,0,0,0
333,1,014,10,2021,F,0,1,0,0,0,0,0
334,9,005,10,2021,F,0,1,0,0,0,0,0
335,37,015,1,2021,F,0,1,0,0,0,0,0
336,37,015,1,2021,F,0,1,0,0,0,0,0
337,29,015,18,2022,F,0,1,0,0,0,0,0
338,34,005,18,2022,M,0,1,0,0,0,0,0
339,33,017,18,2022,M,1,0,0,0,0,0,0
340,37,011,18,2022,F,1,0,0,0,0,0,0
341,32,014,18,2022,M,1,0,0,0,0,0,0
342,4,002,24,2021,M,0,1,0,0,0,0,0
343,28,011,24,2021,F,0,1,0,0,0,0,0
344,45,016,30,2022,M,1,0,0,0,0,0,0
345,17,006,24,2021,M,0,1,0,0,0,0,0
346,17,006,24,2021,F,0,1,0,0,0,0,0
347,41,016,24,2021,M,0,1,0,0,0,0,0
348,34,005,24,2021,F,0,1,0,0,0,0,0
349,28,012,24,2021,M,0,1,0,0,0,0,0
350,37,025,24,2021,F,0,1,0,0,0,0,0
351,10,004,24,2021,M,0,0,1,0,0,0,0
352,1,014,24,2021,F,1,0,0,0,0,0,0
353,27,011,24,2021,F,0,1,0,0,0,0,0
354,16,007,24,2021,M,0,1,0,0,0,0,0
355,20,007,1,2021,M,0,1,0,0,0,0,0
356,8,006,24,2021,F,0,1,0,0,0,0,0
357,36,016,20,2021,F,0,1,0,0,0,0,0
358,23,008,20,2021,M,1,0,0,0,0,0,0
359,42,001,24,2021,M,0,1,0,0,0,0,0
360,42,018,24,2021,F,0,1,0,0,0,0,0
361,17,006,24,2021,M,0,1,0,0,0,0,0
362,26,014,24,2021,F,1,0,0,0,0,0,0
363,16,007,20,2021,F,0,1,0,0,0,0,0
364,49,024,20,2021,M,0,1,0,0,0,0,0
365,20,003,20,2021,F,0,1,0,0,0,0,0
366,38,016,24,2021,M,1,0,0,0,0,0,0
367,23,008,1,2021,F,1,0,0,0,0,0,0
368,23,008,1,2021,M,1,0,0,0,0,0,0
369,14,009,24,2021,M,1,0,0,0,0,0,0
370,10,004,24,2021,F,0,1,0,0,0,0,0
371,10,004,24,2021,F,0,1,0,0,0,0,0
372,20,007,24,2021,F,0,1,0,0,0,0,0
373,28,015,24,2021,M,0,1,0,0,0,0,0
374,7,003,24,2021,M,0,1,0,0,0,0,0
375,8,004,24,2021,M,0,1,0,0,0,0,0
376,24,011,1,2021,M,0,1,0,0,0,0,0
377,42,001,1,2021,F,0,1,0,0,0,0,0
378,8,006,1,2021,F,0,1,0,0,0,0,0
379,43,018,1,2021,M,0,0,0,1,0,0,0
380,37,015,1,2021,F,0,1,0,0,0,0,0
381,27,011,1,2021,F,0,1,0,0,0,0,0
382,42,018,1,2021,F,0,1,0,0,0,0,0
383,28,011,1,2021,F,0,1,0,0,0,0,0
384,42,001,1,2021,F,0,1,0,0,0,0,0
385,7,004,1,2021,M,1,0,0,0,0,0,0
386,21,006,1,2021,F,0,1,0,0,0,0,0
387,44,019,1,2021,M,0,1,0,0,0,0,0
388,25,012,1,2021,M,1,0,0,0,0,0,0
389,28,011,1,2021,F,0,1,0,0,0,0,0
390,28,011,1,2021,F,0,1,0,0,0,0,0
391,28,011,1,2021,F,0,1,0,0,0,0,0
392,24,011,1,2021,M,0,1,0,0,0,0,0
393,16,007,1,2021,F,0,1,0,0,0,0,0
394,38,016,1,2021,M,0,0,0,1,0,0,0
395,28,011,1,2021,F,0,1,0,0,0,0,0
396,46,019,1,2021,O,1,0,0,0,0,0,0
397,46,019,18,2020,M,0,0,1,0,0,0,0
398,46,019,7,2021,O,1,0,0,0,0,0,0
399,31,025,1,2021,F,1,0,0,0,0,0,0
400,6,007,1,2021,F,0,1,0,0,0,0,0
