,ward,district,date_day,date_year,charge_1_type,race_BLACK,race_WHITE HISPANIC,race_BLACK HISPANIC,race_WHITE,race_ASIAN / PACIFIC ISLANDER,race_UNKNOWN / REFUSED,race_AMER INDIAN / ALASKAN NATIVE
338,28,011,11,2021,F,1,0,0,0,0,0,0
339,10,004,11,2021,M,1,0,0,0,0,0,0
340,1,014,11,2021,M,0,0,0,1,0,0,0
341,36,025,11,2021,F,0,1,0,0,0,0,0
342,35,017,11,2021,M,1,0,0,0,0,0,0
343,9,005,11,2021,O,1,0,0,0,0,0,0
344,8,004,11,2021,M,1,0,0,0,0,0,0
345,15,009,11,2021,M,1,0,0,0,0,0,0
346,6,007,11,2021,M,1,0,0,0,0,0,0
347,28,015,11,2021,M,1,0,0,0,0,0,0
348,7,004,11,2021,M,1,0,0,0,0,0,0
349,8,006,11,2021,M,1,0,0,0,0,0,0
350,36,025,11,2021,M,0,1,0,0,0,0,0
351,29,015,11,2021,M,1,0,0,0,0,0,0
352,6,006,11,2021,F,1,0,0,0,0,0,0
353,8,003,11,2021,F,1,0,0,0,0,0,0
354,18,008,11,2021,M,1,0,0,0,0,0,0
355,18,008,11,2021,M,1,0,0,0,0,0,0
356,28,011,11,2021,F,1,0,0,0,0,0,0
357,8,004,11,2021,M,1,0,0,0,0,0,0
358,20,003,11,2021,M,1,0,0,0,0,0,0
359,24,010,11,2021,M,1,0,0,0,0,0,0
360,6,006,11,2021,F,1,0,0,0,0,0,0
361,6,003,11,2021,O,1,0,0,0,0,0,0
362,4,001,11,2021,F,1,0,0,0,0,0,0
363,37,015,11,2021,F,1,0,0,0,0,0,0
364,28,011,11,2021,F,1,0,0,0,0,0,0
365,8,006,15,2022,F,1,0,0,0,0,0,0
366,9,005,11,2021,F,1,0,0,0,0,0,0
367,17,006,11,2021,F,1,0,0,0,0,0,0
368,42,001,15,2022,F,0,0,0,1,0,0,0
369,21,022,11,2021,F,1,0,0,0,0,0,0
370,35,017,11,2021,M,0,1,0,0,0,0,0
371,34,022,11,2021,F,1,0,0,0,0,0,0
372,34,022,11,2021,F,1,0,0,0,0,0,0
373,16,007,11,2021,F,1,0,0,0,0,0,0
374,16,008,11,2021,M,1,0,0,0,0,0,0
375,29,015,11,2021,M,1,0,0,0,0,0,0
376,23,008,11,2021,F,0,1,0,0,0,0,0
377,28,011,11,2021,F,1,0,0,0,0,0,0
378,7,004,11,2021,O,1,0,0,0,0,0,0
379,21,022,11,2021,F,1,0,0,0,0,0,0
380,28,011,11,2021,M,1,0,0,0,0,0,0
